City,Organization Name,Grant Type,Grant Sector,Grant Subsector,Payment Amount
Abbotsford,Abbotsford Agrifair,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",80000
Abbotsford,Abbotsford BMX Society,Community Gaming Grant,Sport,Sports for Youth,29500
Abbotsford,Abbotsford Falcons Football Association,Community Gaming Grant,Sport,Sports for Youth,22000
Abbotsford,Abbotsford International Airshow Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",60000
Abbotsford,Abbotsford Judo Club,Community Gaming Grant,Sport,Sports for Youth,36000
Abbotsford,Abbotsford Soccer Association,Community Gaming Grant,Sport,Sports for Youth,100000
Abbotsford,Heritage Abbotsford Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",42000
Aldergrove,Aldergrove Agricultural Fair and Festival Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",8000
Armstrong,Armstrong & District Curling Club,Community Gaming Grant,Sport,Sports for Youth,16050
Armstrong,Interior Provincial Exhibition Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",100000
Barriere,British Columbia Agricultural Exposition Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",34000
Barriere,North Thompson Fall Fair and Rodeo Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",25500
Bella Coola,Discovery Coast Music Festival Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,7000
Bowen Island,Bowen Island Museum & Archives,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",19000
Brentwood Bay,Central Saanich Extreme Fastball Club,Community Gaming Grant,Sport,Sports for Youth,13500
Brentwood Bay,Via Choralis Performance Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3000
Britannia Beach,Britannia Mine Museum Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",51000
Burnaby,Burnaby Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15100
Burnaby,Burnaby Barracuda Summer Aquatics Club,Community Gaming Grant,Sport,Sports for Youth,51900
Burnaby,Burnaby Canoe & Kayak Club,Community Gaming Grant,Sport,Sports for Youth,15000
Burnaby,Korean Writers' Association of Canada,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3500
Burnaby,Nikkei National Museum & Cultural Centre,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",50000
Burnaby,Trinidad and Tobago Cultural Society of British Columbia,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",25000
Burnaby,Vancouver Chinese Singers Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5500
Burnaby,Western Lacrosse Association,Community Gaming Grant,Sport,Sports - Adult,49000
Campbell River,Campbell River Genealogy Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3500
Campbell River,Campbell River Salmon Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",45000
Campbell River,Campbell River Wado Ryu Association,Community Gaming Grant,Sport,Sports for Youth,3600
Castlegar,Castlegar Sculpturewalk Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",10000
Castlegar,"Kootenay Gallery of Art, History and Science Society",Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12500
Castlegar,SQx Danza,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,30000
Chase,Chase & District Museum & Archives Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15000
Chase,Chase and District Curling Club,Community Gaming Grant,Sport,Sports - Adult,7000
Chemainus,Chemainus Festival of Murals Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",22000
Chilliwack,British Columbia Pipers Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8000
Chilliwack,Cascadia Wind Ensemble Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3500
Chilliwack,Cheam Figure Skating Club,Community Gaming Grant,Sport,Sports for Youth,32000
Chilliwack,Chilliwack & District Agricultural Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",36500
Chilliwack,Chilliwack Academy of Music,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,27000
Chilliwack,Chilliwack School of Performing Arts,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,17500
Chilliwack,Chilliwack Symphony Orchestra,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15000
Chilliwack,Chilliwack Youth Orchestra Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,4600
Chilliwack,Spartan Swim Club,Community Gaming Grant,Sport,Sports for Youth,56000
Christina Lake,Boundary Youth Soccer Association,Community Gaming Grant,Sport,Sports for Youth,14000
Coquitlam,Coastal Sound Music Academy Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,49000
Coquitlam,Theatrix Youtheatre Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,38000
Courtenay,B.C. Seniors Games Society - Zone 2,Community Gaming Grant,Sport,Sports - Adult,30000
Courtenay,Beaufort Child Care Society,Community Gaming Grant,Human and Social Services,Community Education,20496
Courtenay,Comox Valley Art Gallery,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,41000
Courtenay,Comox Valley Exhibition Association Fall Fair,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",44000
Courtenay,Courtenay and District Historical Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,40000
Courtenay,Rainbow Youth Theatre Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,6000
Courtenay,The Alberni Project Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",9000
Cranbrook,Cranbrook and District Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,9000
Cranbrook,Cranbrook Community Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10500
Cranbrook,Cranbrook Lacrosse Association,Community Gaming Grant,Sport,Sports for Youth,6720
Cranbrook,Symphony of the Kootenays Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,16000
Cranbrook,Wycliffe Exhibition Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",16500
Crawford Bay,Starbelly Jam Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",12500
Creston,Creston Valley Fall Fair Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15000
Creston,Creston Valley Figure Skating Club,Community Gaming Grant,Sport,Sports for Youth,11400
Cumberland,Cumberland and District Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",10800
Dawson Creek,Dawson Creek and District Band Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5300
Dawson Creek,Dawson Creek and District Exhibition Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",22000
Dawson Creek,Dawson Creek Minor Hockey Association,Community Gaming Grant,Sport,Sports for Youth,52000
Dawson Creek,Dawson Creek Seals Swim Club,Community Gaming Grant,Sport,Sports for Youth,33000
Dawson Creek,South Peace Art Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,24500
Delta,Delta Community Music School Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,9000
Delta,Delta Thistle Curling Club,Community Gaming Grant,Sport,Sports - Adult,13900
Delta,Ladner Minor Baseball Association,Community Gaming Grant,Sport,Sports for Youth,25000
Delta,North Delta Football Association,Community Gaming Grant,Sport,Sports for Youth,23450
Delta,Sidekick Players Club,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15000
Delta,Sungod Skating Club,Community Gaming Grant,Sport,Sports for Youth,64000
Duncan,Cowichan Camerata String Orchestra Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,2000
Duncan,Cowichan Field Hockey Association,Community Gaming Grant,Sport,Sports - Adult,7500
Duncan,Cowichan Folk Guild,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,25000
Duncan,Cowichan Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",39000
Duncan,Cowichan Musical Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11000
Duncan,Cowichan Valley Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,18000
Duncan,Duncan Cowichan Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",17500
Duncan,Duncan Firefighters Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",1600
Duncan,Duncan Swim Team Society,Community Gaming Grant,Sport,Sports for Youth,32000
Edgewater,Steamboat Mountain Music Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",3000
Fort Langley,BC Farm Museum Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15400
Fort St John,North Peace Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",11500
Gabriola Island,Scouts Canada - 1st Gabriola Scout Group,Community Gaming Grant,Human and Social Services,Enhancement of Youth,3800
